CountyId,State_x,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,ConstCarpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,FIPS,State_y
48117,Texas,Deaf Smith County,18947,9499,9448,71.6,25.9,0.8,0.3,0.5,0.1,10652,51543,3468,21209,1250,18,26.8,27.7,12.8,18.5,15,26,85,11.5,0.5,0.4,0.4,2.2,13.1,8619,80.9,12.9,5.5,0.7,5,48117,TX
48119,Texas,Delta County,5172,2552,2620,6.9,81.5,7.9,0.2,0.7,0,3959,42642,5710,22732,2155,22.9,40.1,31,16.5,22.1,13.9,16.5,86.9,7.1,0.6,2.4,1.6,1.5,31.5,1980,72.6,19.6,7.8,0,6.4,48119,TX
48121,Texas,Denton County,781321,384390,396931,19.1,60.9,9.1,0.3,7.8,0.1,519933,80290,1119,37928,397,8.4,9.4,46,13.9,25.6,6.3,8.2,80.9,8.5,0.9,1.3,1.3,7.1,28.9,419189,82.7,11.6,5.5,0.2,4.5,48121,TX
48123,Texas,DeWitt County,20474,10697,9777,34.5,55.6,9,0,0,0,15285,50960,5037,28116,2303,16,20.2,30.5,18.3,19.8,15.5,15.9,85,7.6,0.1,2.3,1,3.9,23.8,7965,76.9,16.1,6.7,0.2,6.5,48123,TX
48125,Texas,Dickens County,2224,1186,1038,27.6,68.7,3.1,0.3,0.1,0,1664,43088,3488,24171,3281,16.6,19.3,37.1,20.7,17.4,17,7.8,66.5,14.8,0.3,7.1,6.4,5,19.1,747,65.9,22,12,0.1,15,48125,TX
48127,Texas,Dimmit County,10822,5284,5538,86.5,13.2,0.1,0,0.2,0,7179,31384,5343,17939,3265,30.2,43.3,23.1,24.2,30.2,12.8,9.8,80.3,8.6,0.4,3.1,1,6.7,15.6,3805,72.7,16.6,10.7,0,15,48127,TX
48129,Texas,Donley County,3433,1714,1719,10.6,81.8,3.7,0.7,0.5,0,2699,44429,6281,23212,1865,14.9,23.5,30.5,21.5,22.9,14.7,10.4,74.2,14.8,0,4.8,0.3,5.9,23.6,1421,66.6,19.3,14.1,0,4.6,48129,TX
48131,Texas,Duval County,11434,5891,5543,89.3,9,1.4,0,0.3,0,8283,35443,5975,19085,2049,25.2,36.2,19.6,27.1,18.5,22.2,12.7,74,15.5,0,3.1,1.2,6.2,27.6,3950,73.5,18.5,7.2,0.8,13.6,48131,TX
48133,Texas,Eastland County,18278,9337,8941,16,79.9,2.2,0.4,0.2,0,14087,32135,3314,20433,2001,17.4,24.6,28.7,17.4,23.5,13.5,16.8,87.2,8.5,0,2.6,1.1,0.7,18.6,6910,76.6,15.8,6.6,0.9,5.7,48133,TX
48135,Texas,Ector County,155744,78798,76946,58.7,34.5,4.1,0.2,1,0,96417,59528,2471,27728,973,12.3,15.6,23.4,15.7,25.9,17.9,17.1,81.1,13.6,0.4,1.7,1,2.2,22,72576,82.3,11,6.5,0.1,6.9,48135,TX
